seed,epoch,avg_loss,accuracy,time_elapsed,optimizer_name,data_task,optimizer_params
0,16,4.670374259352684,0.011,2.635171,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,17,4.665394112467766,0.0105,2.790036,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,18,4.65066896378994,0.009,2.93682,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,19,4.644232511520386,0.0105,3.070889,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,20,4.633829593658447,0.01,3.253895,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,21,4.631383493542671,0.011,3.414945,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,22,4.618898332118988,0.0105,3.592367,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,23,4.62155619263649,0.011,3.773426,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,24,4.612019211053848,0.0125,3.928831,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,25,4.605130642652512,0.013,4.048651,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,26,4.601947247982025,0.0125,4.199112,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,27,4.596353083848953,0.0125,4.365113,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,28,4.593063205480576,0.0125,4.555208,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,29,4.590012103319168,0.011,4.723406,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,30,4.588464260101318,0.0115,4.896284,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,31,4.584939807653427,0.0115,5.066201,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,32,4.580914378166199,0.0095,5.215044,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,33,4.5823784321546555,0.0105,5.403116,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,34,4.573738396167755,0.011,5.595587,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,35,4.578636571764946,0.0115,5.820656,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,36,4.5772023648023605,0.011,6.006174,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,37,4.574071109294891,0.011,6.19251,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
0,38,4.569878965616226,0.0105,6.372776,BelOpt,modular_addition,"{""eta_scheduler"": {""name"": ""CosineDecayScheduler"", ""params"": {""initial_value"": ""1e-3"", ""max_steps"": 3130}}, ""gamma_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": ""1e-4""}}, ""beta_scheduler"": {""name"": ""ConstantScheduler"", ""params"": {""initial_value"": 0.0}}}"
