seed,epoch,avg_loss,accuracy,time_elapsed,experiment_base_name,experiment_num_seeds,experiment_output_dir,experiment_name,data_task,data_params,model_name,model_params,optimizer_name,optimizer_params,training_epochs,training_batch_size,training_grad_clip
0,11,4.776064559817314,0.013,1.288238,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,12,4.745039626955986,0.012,1.404072,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,13,4.714943513274193,0.01,1.520002,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,14,4.704773366451263,0.0115,1.636035,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,15,4.68880295753479,0.013,1.752323,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,16,4.670374259352684,0.011,1.86818,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,17,4.665394112467766,0.0105,1.984482,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,18,4.65066896378994,0.009,2.101358,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,19,4.644232511520386,0.0105,2.217825,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,20,4.633829593658447,0.01,2.334985,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,21,4.631383493542671,0.011,2.451591,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,22,4.618898332118988,0.0105,2.568363,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,23,4.62155619263649,0.011,2.684786,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,24,4.612019211053848,0.0125,2.801372,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,25,4.605130642652512,0.013,2.917556,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,26,4.601947247982025,0.0125,3.033542,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,27,4.596353083848953,0.0125,3.150776,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,28,4.593063205480576,0.0125,3.267845,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,29,4.590012103319168,0.011,3.384043,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,30,4.588464260101318,0.0115,3.500513,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,31,4.584939807653427,0.0115,3.618168,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,32,4.580914378166199,0.0095,3.734975,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,33,4.5823784321546555,0.0105,3.851091,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,34,4.573738396167755,0.011,3.968146,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,35,4.578636571764946,0.0115,4.085492,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
0,36,4.5772023648023605,0.011,4.199986,supervised_ablations,3,results/,supervised_ablations_initial_value-0.0_name-ConstantScheduler,modular_addition,"{'p': 97, 'n_samples': 2000}",MLP,"{'input_dim': 2, 'hidden_dim': 128, 'output_dim': 97, 'num_layers': 4}",BelOpt,"{'eta_scheduler': {'name': 'CosineDecayScheduler', 'params': {'initial_value': '1e-3', 'max_steps': 3130}}, 'gamma_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': '1e-4'}}, 'beta_scheduler': {'name': 'ConstantScheduler', 'params': {'initial_value': 0.0}}}",50,64,1.0
